Fon Kodu,Fon Adı,Şemsiye Fon Türü,Alt Kategori,Portföy Yönetim Şirketi,Döviz Cinsi
TEJ,AZİMUT PORTFÖY TEKNOLOJİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Teknoloji Temalı,AZİMUT,TL
TFF,TEB PORTFÖY AMERİKA TEKNOLOJİ YABANCI BYF FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Teknoloji Temalı,TEB,TL
TFU,İŞ PORTFÖY TÜFEYE ENDEKSLİ BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,Borçlanma Araçları,İŞ,TL
TGA,GARANTİ PORTFÖY AGRESİF DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,GARANTİ,TL
TGE,İŞ PORTFÖY EMTİA YABANCI BYF FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Emtia,İŞ,TL
TGR,AK PORTFÖY TURİZM VE SEYAHAT SEKTÖRÜ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Tematik,AK,TL
THD,TRIVE PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FON (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,TRIVE,TL
THF,TERA PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,TERA,TL
THT,TRİVE PORTFÖY HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,Hisse Senedi,TRIVE,TL
THV,ATA PORTFÖY BARBAROS HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,Hisse Senedi,ATA,TL
TI2,İŞ PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,İŞ,TL
TI3,İŞ PORTFÖY İŞ BANKASI İŞTİRAKLERİ ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,BIST Endeks,İŞ,TL
TI4,İŞ PORTFÖY TEMKİNLİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,İŞ,TL
TI6,İŞ PORTFÖY BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,Borçlanma Araçları,İŞ,TL
TI7,İŞ PORTFÖY DENGELİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,İŞ,TL
TIE,İŞ PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,BIST Endeks,İŞ,TL
TIL,İŞ PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,İŞ,TL
TJF,TEB PORTFÖY SÜRDÜRÜLEBİLİRLİK FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Tematik,TEB,TL
TJI,TEB PORTFÖY İKİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Fon Sepeti,TEB,TL
TJT,TEB PORTFÖY ALTINCI SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,Döviz,TEB,EUR
TKF,TACİRLER PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,TACİRLER,TL
TLE,AURA PORTFÖY YABANCI BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,Yabancı Borçlanma Araçları,AURA,TL
TLH,AURA PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,AURA,TL
TLK,AKTİF PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,Para Piyasası,AKTİF,TL
TLV,TERA PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,Para Piyasası,TERA,TL
TLY,TERA PORTFÖY BİRİNCİ SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,TERA,TL
TLZ,ATA PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,ATA,TL
TMC,İŞ PORTFÖY TEMA DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,İŞ,TL
TMG,İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU,Hisse Senedi Şemsiye Fonu,Yabancı Hisse Ağırlıklı,İŞ,TL
TMM,TERA PORTFÖY İKİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,TERA,USD
TMU,AZİMUT PORTFÖY TEMKİNLİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Fon Sepeti,AZİMUT,TL
TMZ,İŞ PORTFÖY SÜRDÜRÜLEBİLİRLİK VE TARIM FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Tematik,İŞ,TL
TND,İŞ PORTFÖY TTF TENİSE DESTEK DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,İŞ,TL
TOT,TEB PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,Özel Sektör Borçlanma Araçları,TEB,TL
TP2,TERA PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,Para Piyasası,TERA,TL
TPC,TEB PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Fon Sepeti,TEB,TL
TPF,TACİRLER PORTFÖY BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,Borçlanma Araçları,TACİRLER,TL
TPJ,TEB PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,TEB,USD
TPL,TEB PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,Eurobond,TEB,TL
TPP,TEB PORTFÖY PUSULA SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,TEB,TL
TPV,AURA PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,AURA,TL
TPZ,TEB PORTFÖY KİRA SERTİFİKALARI (DÖVİZ) KATILIM FONU,Katılım Şemsiye Fonu,Kira Sertifikası,TEB,TL
TRJ,TERA PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,Borçlanma Araçları,TERA,TL
TRO,TRIVE PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,Altın,TRIVE,TL
TRU,TERA PORTFÖY KATILIM SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,TERA,USD
TTA,İŞ PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,Altın,İŞ,TL
TTE,İŞ PORTFÖY BIST TEKNOLOJİ AĞIRLIK SINIRLAMALI ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,BIST Endeks,İŞ,TL
TTL,TACİRLER PORTFÖY KARTOPU SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,TACİRLER,TL
TTV,TACİRLER PORTFÖY VEGA SERBEST (TL)  FON,Serbest Şemsiye Fonu,Diğer Serbest,TACİRLER,TL
TUA,TEB PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,Altın,TEB,TL
TVE,EMAA BLUE PORTFÖY TARIM VE GIDA SEKTÖRÜ KATILIM FONU,Katılım Şemsiye Fonu,Tematik,EMAA BLUE,TL
TVN,TRIVE PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Fon Sepeti,TRIVE,TL
TYH,TEB PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,TEB,TL
TZD,ZİRAAT PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,ZİRAAT,TL
TZT,ZİRAAT PORTFÖY BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,Borçlanma Araçları,ZİRAAT,TL
ULH,ÜNLÜ PORTFÖY ONUNCU SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,ÜNLÜ,TL
UNT,İŞ PORTFÖY ÜÇÜNCÜ SERBEST (TL) FON,Serbest Şemsiye Fonu,Diğer Serbest,İŞ,TL
UP1,ÜNLÜ PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,Altın,ÜNLÜ,TL
UP2,ÜNLÜ PORTFÖY PARA PİYASASI SERBEST FON,Serbest Şemsiye Fonu,Para Piyasası,ÜNLÜ,TL
UPD,ÜNLÜ PORTFÖY DÖRDÜNCÜ SERBEST (DÖVIZ) FON,Serbest Şemsiye Fonu,Döviz,ÜNLÜ,USD
UPH,ÜNLÜ PORTFÖY HİSSE SENEDİ (TL) FONU(HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,ÜNLÜ,TL
UPP,ÜNLÜ PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,Para Piyasası,ÜNLÜ,TL
URA,ATA PORTFÖY ENERJİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Tematik,ATA,TL
USY,ÜNLÜ PORTFÖY DEĞER YATIRIMLARI SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,ÜNLÜ,TL
VAY,AK PORTFÖY DEĞER ODAKLI 100 ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Tematik,AK,TL
VCY,AK PORTFÖY ELEKTRİKLİ VE OTONOM ARAÇ TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Teknoloji Temalı,AK,TL
VFK,ZİRAAT PORTFÖY İKİNCİ KISA VADELİ KİRA SERTİFİKALARI KATILIM (TL) FONU,Katılım Şemsiye Fonu,Kira Sertifikası,ZİRAAT,TL
VFO,V PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,Altın,V,TL
VHS,VAKIF KATILIM PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,VAKIF KATILIM,TL
VKK,VAKIF KATILIM PORTFÖY KİRA SERTİFİKALARI KATILIM FONU,Katılım Şemsiye Fonu,Kira Sertifikası,VAKIF KATILIM,TL
VKV,VAKIF KATILIM PORTFÖY KISA VADELİ KİRA SERTİFİKALARI KATILIM FONU,Katılım Şemsiye Fonu,Kira Sertifikası,VAKIF KATILIM,TL
VLT,VAKIF KATILIM PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,Altın,VAKIF KATILIM,TL
VMV,VEGA PORTFÖY MAVİ SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,VEGA,TL
VNK,VEGA PORTFÖY ANKA SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,VEGA,TL
VPA,VAKIF KATILIM PORTFÖY PARA PİYASASI KATILIM FONU,Katılım Şemsiye Fonu,Para Piyasası,VAKIF KATILIM,TL
VPP,VEGA PORTFÖY PARLA SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,VEGA,USD
VPS,VEGA PORTFÖY SALUR HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,Hisse Senedi,VEGA,TL
VRK,DENİZ PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Şemsiye Fonu,Çoklu Varlık,DENİZ,TL
YAC,YAPI KREDİ PORTFÖY İKİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Fon Sepeti,YAPI KREDİ,TL
YAE,YAPI KREDİ PORTFÖY TLREF'E ENDEKSLİ BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,Borçlanma Araçları,YAPI KREDİ,TL
YAK,YAPI KREDİ PORTFÖY KARMA FON,Karma Şemsiye Fonu,Karma,YAPI KREDİ,TL
YAN,YAPI KREDİ PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Fon Sepeti,YAPI KREDİ,TL
YAS,YAPI KREDİ PORTFÖY KOÇ HOLDİNG İŞTİRAK VE HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Tematik,YAPI KREDİ,TL
YAY,YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU,Hisse Senedi Şemsiye Fonu,Teknoloji Temalı,YAPI KREDİ,TL
YBE,YAPI KREDİ PORTFÖY EUROBOND (DOLAR) BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,Eurobond,YAPI KREDİ,TL
YBH,YAPI KREDİ PORTFÖY 5-15 YIL VADELİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,YAPI KREDİ,USD
YBR,İŞ PORTFÖY YİRMİBİRİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,İŞ,USD
YBS,YAPI KREDİ PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,Özel Sektör Borçlanma Araçları,YAPI KREDİ,TL
YCK,YAPI KREDİ PORTFÖY CİHANGİR SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,YAPI KREDİ,TL
YCP,YAPI KREDİ PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,BIST Endeks,YAPI KREDİ,TL
YCY,İSTANBUL PORTFÖY KATILIM FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Fon Sepeti,İSTANBUL,TL
YDI,YAPI KREDİ PORTFÖY MODEL PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,YAPI KREDİ,TL
YDP,YAPI KREDİ PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,YAPI KREDİ,TL
YEF,YAPI KREDİ PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,BIST Endeks,YAPI KREDİ,TL
YFV,YAPI KREDİ PORTFÖY KİRA SERTİFİKALARI KATILIM FONU,Katılım Şemsiye Fonu,Kira Sertifikası,YAPI KREDİ,TL
YGM,YAPI KREDİ PORTFÖY EMTİA SERBEST FON,Serbest Şemsiye Fonu,Emtia,YAPI KREDİ,TL
YHB,YAPI KREDİ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,BIST Endeks,YAPI KREDİ,TL
YHI,YAPI KREDİ PORTFÖY İNŞAAT SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,Tematik,YAPI KREDİ,TL
YHK,YAPI KREDİ PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,YAPI KREDİ,TL
YHP,YAPI KREDİ PORTFÖY KADIKÖY SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,YAPI KREDİ,TL
YHS,YAPI KREDİ PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,YAPI KREDİ,TL
YHT,YAPI KREDİ PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,Borçlanma Araçları,YAPI KREDİ,TL
YHZ,YAPI KREDİ PORTFÖY BIST TEKNOLOJİ AĞIRLIK SINIRLAMALI ENDEKSİ HİSSE SENEDİ FONU ( HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,BIST Endeks,YAPI KREDİ,TL
YIK,YAPI KREDİ PORTFÖY İKİNCİ PARA PİYASASI SERBEST (TL) FON,Serbest Şemsiye Fonu,Para Piyasası,YAPI KREDİ,TL
YIT,GARANTİ PORTFÖY YARI İLETKEN TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Teknoloji Temalı,GARANTİ,TL
YJH,YAPI KREDİ PORTFÖY TEMİZ ENERJİ DEĞİŞKEN FONU,Değişken Şemsiye Fonu,Tematik,YAPI KREDİ,TL
YJK,YAPI KREDİ PORTFÖY ROBOTİK VE YARI İLETKEN TEKNOLOJİLERİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Teknoloji Temalı,YAPI KREDİ,TL
YJY,YAPI KREDİ PORTFÖY YENİKÖY SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,YAPI KREDİ,USD
YKS,YAPI KREDİ PORTFÖY İSTANBUL SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,YAPI KREDİ,TL
YKT,YAPI KREDİ PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,Altın,YAPI KREDİ,TL
YLC,ATA PORTFÖY TARIM VE GIDA DEĞİŞKEN FON,Değişken Şemsiye Fonu,Tematik,ATA,TL
YLE,YAPI KREDİ PORTFÖY BIST SÜRDÜRÜLEBİLİRLİK ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,BIST Endeks,YAPI KREDİ,TL
YLO,YAPI KREDİ PORTFÖY ELEKTRİKLİ ARAÇLAR DEĞİŞKEN FON,Değişken Şemsiye Fonu,Tematik,YAPI KREDİ,TL
YLY,YAPI KREDİ PORTFÖY KAR PAYI ÖDEYEN HİSSE SENEDİ (TL) FON (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Kar Payı Ödeyen,YAPI KREDİ,TL
YMD,YAPI KREDİ PORTFÖY MASLAK SERBEST (DÖVİZ- ABD DOLARI) FON,Serbest Şemsiye Fonu,Döviz,YAPI KREDİ,USD
YMH,YAPI KREDİ PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,İstatiksel Arbitraj,YAPI KREDİ,TL
YNK,YAPI KREDİ PORTFÖY NİŞANTAŞI KAR PAYI ÖDEYEN SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Kar Payı Ödeyen,YAPI KREDİ,USD
YOT,YAPI KREDİ PORTFÖY BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,Borçlanma Araçları,YAPI KREDİ,TL
YOZ,DENİZ PORTFÖY YAKAMOZ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,DENİZ,USD
YP4,YAPI KREDİ PORTFÖY FERİKÖY SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,YAPI KREDİ,USD
YPC,YAPI KREDİ PORTFÖY SÜRDÜRÜLEBİLİRLİK DEĞİŞKEN FON,Değişken Şemsiye Fonu,Tematik,YAPI KREDİ,TL
YPF,YAPI KREDİ PORTFÖY ALFA SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,YAPI KREDİ,TL
YPK,YAPI KREDİ PORTFÖY GALATA SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,YAPI KREDİ,TL
YPL,YAPI KREDİ PORTFÖY BALAT SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,YAPI KREDİ,USD
YPR,AZİMUT PORTFÖY YILDIZ PAZAR ŞİRKETLERİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,BIST Endeks,AZİMUT,TL
YPV,YAPI KREDİ PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Fon Sepeti,YAPI KREDİ,TL
YSA,YAPI KREDİ PORTFÖY SUADİYE SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,YAPI KREDİ,USD
YSH,YAPI KREDİ PORTFÖY BÜYÜK ÖLÇEKLİ ŞİRKETLER DEĞİŞKEN FON,Değişken Şemsiye Fonu,Tematik,YAPI KREDİ,TL
YSL,YAPI KREDİ PORTFÖY KAR PAYI ÖDEYEN KİRA SERTİFİKALARI KATILIM SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Kar Payı Ödeyen,YAPI KREDİ,USD
YSO,YAPI KREDİ PORTFÖY SAĞLIK SEKTÖRÜ SERBEST FON,Serbest Şemsiye Fonu,Tematik,YAPI KREDİ,TL
YSU,YAPI KREDİ PORTFÖY ÜÇÜNCÜ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,YAPI KREDİ,TL
YTD,YAPI KREDİ PORTFÖY YABANCI FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Yabancı Hisse Ağırlıklı,YAPI KREDİ,TL
YTV,YAPI KREDİ PORTFÖY TARIM DEĞİŞKEN FON,Değişken Şemsiye Fonu,Tematik,YAPI KREDİ,TL
YTY,YAPI KREDİ PORTFÖY TARABYA SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,Döviz,YAPI KREDİ,EUR
YUB,YAPI KREDİ PORTFÖY KARAKÖY HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,Hisse Senedi,YAPI KREDİ,TL
YUN,YAPI KREDİ PORTFÖY İSTİNYE SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,YAPI KREDİ,USD
YVB,YAPI KREDİ PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,Borçlanma Araçları,YAPI KREDİ,TL
YVG,YAPI KREDİ PORTFÖY SARIYER SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,Döviz,YAPI KREDİ,EUR
YZC,YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Teknoloji Temalı,YAPI KREDİ,TL
YZG,YAPI KREDİ PORTFÖY GÜMÜŞ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Gümüş,YAPI KREDİ,TL
YZH,TEB PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN),Hisse Senedi Şemsiye Fonu,BIST Endeks,TEB,TL
YZK,YAPI KREDİ PORTFÖY KALAMIŞ SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,YAPI KREDİ,TL
YZT,AK PORTFÖY YAPAY ZEKA TEKNOLOJİLERİ ŞİRKETLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Teknoloji Temalı,AK,TL
ZBD,ZİRAAT PORTFÖY DENGELİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,ZİRAAT,TL
ZBI,ZİRAAT PORTFÖY TEMKİNLİ KATILIM FONU,Katılım Şemsiye Fonu,Çoklu Varlık,ZİRAAT,TL
ZBJ,ZİRAAT PORTFÖY BAŞAK PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,Para Piyasası,ZİRAAT,TL
ZBO,ZİRAAT PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,İstatiksel Arbitraj,ZİRAAT,TL
ZCD,ZİRAAT PORTFÖY ALTINCI SERBEST (TL) FON,Serbest Şemsiye Fonu,Diğer Serbest,ZİRAAT,TL
ZCK,ZİRAAT PORTFÖY AGRESİF KATILIM FONU,Katılım Şemsiye Fonu,Çoklu Varlık,ZİRAAT,TL
ZCN,ZİRAAT PORTFÖY EMTİA FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Emtia,ZİRAAT,TL
ZDD,ZİRAAT PORTFÖY TEMKİNLİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,ZİRAAT,TL
ZDZ,ZİRAAT PORTFÖY AGRESİF DEĞİŞKEN FON,Değişken Şemsiye Fonu,Değişken,ZİRAAT,TL
ZFB,AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Teknoloji Temalı,AK,TL
ZHH,ZİRAAT PORTFÖY HALKBANK SÜRDÜRÜLEBİLİRLİK 30 ŞİRKETLERİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,BIST Endeks,ZİRAAT,TL
ZJB,ZİRAAT PORTFÖY BİRİNCİ SERBEST (TL) FON,Serbest Şemsiye Fonu,Diğer Serbest,ZİRAAT,TL
ZJI,ZİRAAT PORTFÖY İKİNCİ SERBEST (TL) FON,Serbest Şemsiye Fonu,Diğer Serbest,ZİRAAT,TL
ZJL,ZİRAAT PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,BIST Endeks,ZİRAAT,TL
ZJV,ZİRAAT PORTFÖY BIST 30 DIŞI YILDIZ PAZAR ŞİRKETLERİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,BIST Endeks,ZİRAAT,TL
ZLH,ZİRAAT PORTFÖY BIST 100-30 ŞİRKETLERİ HİSSE SENEDİ FONU ( HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,BIST Endeks,ZİRAAT,TL
ZMT,AZİMUT PORTFÖY 22.0 SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,Döviz,AZİMUT,EUR
ZMY,ZİRAAT PORTFÖY METAVERSE VE YENİ TEKNOLOJİLER DEĞİŞKEN FON,Değişken Şemsiye Fonu,Teknoloji Temalı,ZİRAAT,TL
ZP6,ZİRAAT PORTFÖY SEDEF KATILIM SERBEST (DÖVİZ - AMERİKAN DOLARI) FON,Serbest Şemsiye Fonu,Döviz,ZİRAAT,USD
ZP8,ZİRAAT PORTFÖY KEHRİBAR PARA PİYASASI KATILIM SERBEST (TL) FON,Serbest Şemsiye Fonu,Para Piyasası,ZİRAAT,TL
ZP9,ZİRAAT PORTFÖY AKİK KATILIM SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,Döviz,ZİRAAT,EUR
ZPA,ZİRAAT PORTFÖY SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,ZİRAAT,USD
ZPC,ZİRAAT PORTFÖY FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Fon Sepeti,ZİRAAT,TL
