Fon Kodu,Fon Adı,Şemsiye Fon Türü,Alt Kategori,Portföy Yönetim Şirketi,Döviz Cinsi
MGB,İŞ PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,İstatiksel Arbitraj,İŞ,TL
MGH,TEB PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,İstatiksel Arbitraj,TEB,TL
MHF,MT PORTFÖY BIST HALKA ARZ ŞİRKETLERİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,BIST Endeks,MT,TL
MJB,AKTİF PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Fon Sepeti,AKTİF,TL
MJG,AKTİF PORTFÖY GÜMÜŞ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Gümüş,AKTİF,TL
MJH,AKTİF PORTFÖY FORTUNA SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,AKTİF,TL
MJL,AKTİF PORTFÖY AKTİF SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,Döviz,AKTİF,EUR
MKA,MARMARA CAPİTAL PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,MARMARA,TL
MKG,AKTİF PORTFÖY ALTIN KATILIM FONU,Kıymetli Madenler Şemsiye Fonu,Altın,AKTİF,TL
MLT,DENİZ PORTFÖY MELTEM HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,Hisse Senedi,DENİZ,TL
MMH,AKTİF PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,BIST Endeks,AKTİF,TL
MOZ,EMAA BLUE PORTFÖY MOZAİK SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,EMAA BLUE,TL
MPE,MT PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,Para Piyasası,MT,TL
MPF,AKTİF PORTFÖY KISA VADELİ KİRA SERTİFİKASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,Kira Sertifikası,AKTİF,TL
MPI,MEKSA PORTFÖY İSTATİSTİKSEL ARBİTRAJ SERBEST (TL) FON,Serbest Şemsiye Fonu,İstatiksel Arbitraj,MEKSA,TL
MPK,AKTİF PORTFÖY KİRA SERTİFİKASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,Kira Sertifikası,AKTİF,TL
MPL,MT PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,Para Piyasası,MT,TL
MPN,AKTİF PORTFÖY İKİNCİ AKTİF SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Döviz,AKTİF,USD
MPP,MEKSA PORTFÖY PRİME SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,MEKSA,TL
MPS,AKTİF PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Hisse Senedi,AKTİF,TL
MRI,TEB PORTFÖY MERİDYEN SERBEST FON,Serbest Şemsiye Fonu,Diğer Serbest,TEB,TL
